"Order Number","Order Date","Order Status","Order Purchased From","Order Payment Method","Order Shipping Method","Order Subtotal","Order Tax","Order Shipping","Order Discount","Order Grand Total","Order Paid","Order Refunded","Order Due","Total Qty Items Ordered","Customer Name","Customer Email","Shipping Name","Shipping Company","Shipping Street","Shipping Zip","Shipping City","Shipping State","Shipping State Name","Shipping Country","Shipping Country Name","Shipping Phone Number","Billing Name","Billing Company","Billing Street","Billing Zip","Billing City","Billing State","Billing State Name","Billing Country","Billing Country Name","Billing Phone Number","Order Item Increment","Item Name","Item Status","Item SKU","Item Options","Item Original Price","Item Selling Price","Item Qty Ordered","Item Qty Invoiced","Item Qty Shipped","Item Qty Canceled","Item Qty Refunded","Item Tax","Item Discount","Item Total","Coupon Code","GST Number",premium_care
000000001,12-01-2022,processing,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,29.00,2.39,5.00,0.00,36.39,36.39,0.00,0.00,1,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,Michigan,Michigan,US,US,"(555) 229-3326/","Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,MI,Michigan,US,"United States","(555) 229-3326/",1,"Iris Workout Top",Shipped,WS03-XS-Red,,29.0000,29.0000,1,1,1,0,0,2.3900,0,29,,
000000002,12-01-2022,closed,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,32.00,2.64,5.00,0.00,39.64,39.64,39.64,0.00,1,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,Michigan,Michigan,US,US,"(555) 229-3326/","Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,MI,Michigan,US,"United States","(555) 229-3326/",1,"Minerva LumaTech&trade; V-Tee",Refunded,WS08-XS-Blue,,32.0000,32.0000,1,1,1,0,1,2.6400,0,32,,
000000003,12-28-2022,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,22.00,1.82,5.00,0.00,28.82,0.00,0.00,28.82,1,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,Michigan,Michigan,US,US,"(555) 229-3326/","Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,MI,Michigan,US,"United States","(555) 229-3326/",1,"Argus All-Weather Tank",Ordered,MT07-XS-Gray,,22.0000,22.0000,1,0,0,0,0,1.8200,0,22,,
000000004,01-19-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,225.00,14.85,45.00,-45.00,304.85,0.00,0.00,304.85,5,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,Michigan,Michigan,US,US,"(555) 229-3326/","Veronica Costello",,"6146 Honey Bluff Parkway",49628-7978,Calder,MI,Michigan,US,"United States","(555) 229-3326/",1,"Push It Messenger Bag",Ordered,24-WB04,,45.0000,45.0000,5,0,0,0,0,14.8500,45,180,,
000000005,01-20-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,450.00,29.70,0.00,-90.00,439.70,0.00,0.00,439.70,10,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",California,California,US,US,1234512345/12345,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",CA,California,US,"United States",1234512345/12345,1,"Push It Messenger Bag",Ordered,24-WB04,,45.0000,45.0000,5,0,0,0,0,29.7000,45,180,,
000000005,01-20-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,450.00,29.70,0.00,-90.00,439.70,0.00,0.00,439.70,10,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",California,California,US,US,1234512345/12345,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",CA,California,US,"United States",1234512345/12345,2,"Push It Messenger Bag",Ordered,24-WB04,,45.0000,45.0000,5,0,0,0,0,29.7000,45,180,,
000000006,01-20-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,270.00,17.82,0.00,-54.00,233.82,0.00,0.00,233.82,6,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",California,California,US,US,1234512345/12345,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",CA,California,US,"United States",1234512345/12345,1,"Push It Messenger Bag",Ordered,24-WB04,,45.0000,45.0000,6,0,0,0,0,17.8200,54,216,,
000000007,01-20-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",California,California,US,US,1234512345/12345,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",CA,California,US,"United States",1234512345/12345,1,"Push It Messenger Bag",Ordered,24-WB04,,0.0000,45.0000,5,0,0,0,0,,0,0,,
000000008,01-20-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",California,California,US,US,1234512345/12345,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",CA,California,US,"United States",1234512345/12345,1,"Push It Messenger Bag",Ordered,24-WB04,,0.0000,45.0000,5,0,0,0,0,,0,0,,
000000009,01-20-2023,pending,"Main Website
Main Website Store
Default Store View","Check / Money order",flatrate_flatrate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,"Veronica Costello",roni_cost@example.com,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",California,California,US,US,1234512345/12345,"Veronica Costello",,"B1 Abcd street",45454,"Los Angeles",CA,California,US,"United States",1234512345/12345,1,"Push It Messenger Bag",Ordered,24-WB04,,0.0000,45.0000,5,0,0,0,0,,0,0,,
